TITLE = "PROPAN_40"
VARIABLES="r/R","POTW","POT(1)","POT(N)","CP(1)","CP(N)","DELTACP"
ZONE T="BLADE WAKE T=0", I=    21 F=POINT
   0.6597856193247564E+00   0.4022346171216770E-01   0.1792124872066170E+00   0.2189899590302395E+00   0.3470430069529645E+00   0.3470531333203717E+00   0.1012636740715944E-04
   0.7118830924910993E+00   0.4502867718742757E-01   0.1780494427734465E+00   0.2226060324807916E+00   0.2612075787678129E+00   0.2612134891448291E+00   0.5910377016249413E-05
   0.7626792746422448E+00   0.4918880237436277E-01   0.1775264150423573E+00   0.2262355481634620E+00   0.2008654144962609E+00   0.2008690937239942E+00   0.3679227733255352E-05
   0.8110046962784512E+00   0.5278471700329216E-01   0.1771570261107188E+00   0.2294823594816596E+00   0.1515500578681955E+00   0.1515528338936853E+00   0.2776025489814593E-05
   0.8557732148996723E+00   0.5573463479715324E-01   0.1765577871751051E+00   0.2318675167370278E+00   0.1047859439881501E+00   0.1047880012700737E+00   0.2057281923595333E-05
   0.8959535341391418E+00   0.5772616037298771E-01   0.1755800176772203E+00   0.2329536994150888E+00   0.5916123318983801E-01   0.5916266500237255E-01   0.1431812534535837E-05
   0.9306503813612781E+00   0.5863010760354419E-01   0.1741210380547282E+00   0.2324831598139928E+00   0.1444583863871474E-01   0.1444668347410227E-01   0.8448353875367687E-06
   0.9589533263480370E+00   0.5865161758069425E-01   0.1716272716412835E+00   0.2301283536602693E+00  -0.2700526180160856E-01  -0.2700523465593818E-01   0.2714567037820359E-07
   0.9805153935271920E+00   0.5774771814362093E-01   0.1686503619980552E+00   0.2263400308051447E+00  -0.4874644722082344E-01  -0.4874652131399060E-01  -0.7409316715722980E-07
   0.9947523053770850E+00   0.5645950481350066E-01   0.1662762085930475E+00   0.2227229925502161E+00  -0.7107594751618884E-01  -0.7107575490512041E-01   0.1926110684280502E-06
   0.1003447916026326E+01   0.5507665959823997E-01   0.1647438669941681E+00   0.2199255730827022E+00  -0.7676908532765925E-01  -0.7675505518785508E-01   0.1403013980416645E-04
ZONE T="NOZZLE WAKE T=0", I=    30 F=POINT
   0.1500221610901093E+01   0.2854534395241798E+00   0.9213003534491110E-02   0.2956942843799453E+00  -0.4159864422181633E-02  -0.4165906680725804E-02  -0.6042258544171689E-05
